cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,is_mine
9,9,9,9,9,9,9,9,9,9,9,9,-1,-1,-1,9,9,2,-2,-2,9,9,1,2,2,0
9,9,9,9,9,9,9,9,9,9,-1,-1,-1,-1,-1,1,1,1,2,-2,0,0,0,1,1,0
9,9,9,9,9,9,9,9,9,9,-1,1,-1,-1,9,1,1,2,-2,9,0,0,1,1,9,0
9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,1,2,-1,-1,9,0,1,-1,-1,0
-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0
-2,3,1,9,9,-2,-1,-1,9,9,2,-1,-1,9,9,9,9,9,9,9,9,9,9,9,9,0
1,1,0,9,9,-2,3,1,9,9,-2,-1,-1,9,9,2,-1,1,9,9,9,9,9,9,9,0
2,1,0,2,2,-2,2,1,2,-2,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,0
3,2,1,0,2,3,-2,2,1,2,-1,-1,-1,1,-1,9,9,9,9,9,9,9,9,9,9,0
9,0,1,1,1,9,1,2,-2,1,9,-1,-1,3,2,9,-1,-1,3,-2,9,-1,-1,-1,-2,1
1,3,3,3,9,-2,3,-2,-2,9,3,-1,-1,-1,9,-2,-1,-1,-1,9,9,9,9,9,9,1
9,9,9,9,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,2,-1,-1,-1,9,-2,-1,-1,-1,9,0
9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,1,0,1,-2,-1,1
9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,1,1,1,1,9,0,0,0,2,1
9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,3,-2,1,1,2,-2,3,0
9,9,9,9,9,-1,-1,-1,2,-2,1,-1,-1,4,2,2,3,-2,-2,2,2,-2,3,3,-2,1
9,9,9,9,9,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,0
0,1,-1,-1,-1,0,1,-1,-1,-1,1,3,-1,-1,-1,1,-2,-1,-1,-1,2,2,-1,-1,-1,0
9,1,2,-2,-2,9,-1,-1,4,-2,9,-1,-1,2,2,9,-1,-1,1,1,9,9,9,9,9,1
2,1,1,1,9,-2,2,2,1,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,0
1,1,0,1,1,-2,2,1,2,-2,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-2,-1,-1,-1,-1,1
1,3,-1,9,9,0,1,-1,9,9,0,1,-1,9,9,9,9,9,9,9,9,9,9,9,9,0
-1,1,1,2,-2,-1,-1,-1,-1,2,-1,-1,-1,-1,1,9,9,9,9,9,9,9,9,9,9,0
9,9,-1,1,1,9,9,-1,-1,-1,9,9,-1,-1,1,9,9,9,9,9,9,9,9,9,9,0
9,-1,-1,-1,-1,9,-1,-1,1,2,9,-1,-1,1,1,9,-1,-1,3,2,9,1,2,-2,-2,0
9,1,2,-2,2,9,-1,-1,2,1,9,-1,-1,1,0,9,9,9,9,9,9,9,9,9,9,1
9,9,9,9,9,9,9,9,9,9,-1,-1,-1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1
9,9,9,9,9,9,9,9,9,9,9,9,-1,-1,-2,9,9,2,4,-2,9,9,2,-2,3,0
9,9,9,9,9,9,9,9,9,9,2,-2,-1,9,9,3,-2,-1,9,9,2,-2,-2,9,9,1
9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,0
2,2,3,2,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,0
2,1,0,1,-2,-2,2,2,3,2,3,-1,-1,-1,-1,2,-1,-1,3,-1,9,9,9,9,9,1
9,9,9,9,9,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,4,-2,4,2,2,2,-2,2,0,0,0
9,-1,-1,2,1,9,-1,-1,2,0,9,-1,-1,1,0,9,-1,-1,1,0,9,9,9,9,9,1
9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,0
1,2,3,2,9,2,-2,-2,-2,9,-2,4,-1,-1,9,3,-1,-1,-1,9,-1,-1,-1,-1,9,0
9,0,0,0,0,9,1,1,2,2,9,-1,-1,-1,-1,9,1,1,2,2,9,0,0,0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,0
0,0,0,0,9,1,2,1,1,9,-1,-1,-1,-1,9,2,2,1,1,9,1,0,0,0,9,1
-2,-1,-1,9,9,2,-1,-1,9,9,2,-1,-1,9,9,-2,2,1,9,9,1,1,0,9,9,0
9,9,9,9,9,9,9,9,9,9,1,2,-1,-1,9,2,-2,-1,-1,9,2,-2,3,1,9,0
1,1,-1,-1,-1,2,2,-1,-1,-1,3,-2,-1,-1,-1,2,-2,4,2,1,2,3,-2,1,0,0
9,9,9,9,9,9,9,9,9,9,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,-1,-1,-1,-1,0
9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,0
9,9,9,9,9,0,1,-1,1,0,1,3,-1,3,1,1,-2,-2,-2,1,2,3,4,2,2,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,0
-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
9,9,9,9,9,9,9,9,9,9,2,-2,-1,9,9,2,-2,-2,9,9,1,2,2,9,9,0
9,9,9,9,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,0
1,-2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
9,9,9,9,9,9,9,9,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,0
-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,0
9,9,-1,1,0,9,9,-1,2,1,9,9,-1,2,-2,9,9,-1,2,1,9,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,-1,-1,-1,-2,2,-2,-2,4,-2,2,3,3,3,2,2,1
-1,-1,-1,-1,9,-1,-1,-1,-1,9,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,0
-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,-1,-1,-1,9,9,0
0,0,0,1,1,1,2,1,3,-2,-1,-1,-1,-1,-2,9,9,9,9,9,9,9,9,9,9,1
9,9,9,9,9,9,9,9,9,9,9,9,-1,-1,-2,9,9,-2,5,-2,9,9,-2,3,1,1
